tpnc,ean,nazev,znacka,cena_kc,jednotkova_cena,jednotka,energie_kj,energie_kcal,tuky_g,nasycene_mk_g,sacharidy_g,cukry_g,bilkoviny_g,sul_g,vlaknina_g
220326602,05051007151092,Tesco Balzamikový ocet z Modeny 500ml,TESCO,74.9,149.8,litre,477.0,112.0,0.0,0.0,27.0,27.0,1.0,0.1,0.1
219051777,08593861801548,"Kand Ocet vinný bílý 0,5l",Kand,65.9,131.8,litre,,18,0.0,,0.1,,0.0,,
215664650,08593861801524,Kand Ocet 7-bylinný 500ml,Kand,65.9,131.8,litre,84.0,20.0,0.5,0.1,0.5,0.5,,5.4,
220142638,08594006881463,Bzenecký Ocet Vinný ocet kvasný z červeného vína 500ml,Bzenecký Ocet,51.9,103.8,litre,92.0,22.0,0.5,0.1,1.0,0.5,0.5,0.03,
105013046,08594006880046,Bzenecký Ocet Poleva s balzamikovým octem z Modeny 250ml,Bzenecký Ocet,96.9,387.6,litre,1252.0,294.0,0.0,0.0,70.0,66.0,0.6,0.27,
105539348,08594023202531,Fabio Produkt Fabio ocet ve spreji balzamikový 250ml,Fabio Produkt,134.9,539.6,litre,497.0,116.0,0.0,,24.1,23.3,0.4,0.0,
130534680,08594006880091,Bzenecký Ocet Ocet kvasný jablečný 5% 1l,Bzenecký Ocet,69.9,69.9,litre,78.0,18.0,0.5,0.1,0.8,0.5,0.5,0.03,
200107605,08590132015444,Kotányi Petržel krájená nať 7g,KOTANYI,21.9,3128.57,kg,,30,0.2,,5.0,,1.5,,
120527911,08595012035109,Avokádo Majoránka sušená 7g,Avokádo,12.9,1842.86,kg,,160,15.0,,9.0,,2.0,,
200108015,08590132009900,Kotányi Majoránka drhnutá 30g,KOTANYI,54.9,1830,kg,,280,7.0,,45.0,,10.0,,
200107599,08590132015567,Kotányi Pažitka krájená 5g,KOTANYI,21.9,4380,kg,,30,0.7,,4.4,,3.3,,
200107674,08590132015598,Kotányi Tymián drhnutý 14g,KOTANYI,21.9,1564.29,kg,,280,7.0,,45.0,,10.0,,
218591168,08593837225064,J.C.Horn Majoránka 5g,J.C.Horn,7.9,1580,kg,,280,7.0,,45.0,,10.0,,
200107582,08590132015420,Kotányi Oregano drhnuté 8g,KOTANYI,21.9,2737.5,kg,,280,7.0,,45.0,,10.0,,
200107575,08590132018063,Kotányi Libeček drhnutý 10g,KOTANYI,21.9,2190,kg,,280,7.0,,45.0,,10.0,,
120527807,08595012000107,Avokádo Bazalka 12g,Avokádo,11.9,991.67,kg,,160,15.0,,9.0,,2.0,,
220053350,08593837256846,Vitana Petržel 5g,Vitana,19.9,3980,kg,1407.0,336.0,1.8,0.0,36.9,36.7,40.5,0.4,
200107933,08590132015376,Kotányi Majoránka drhnutá 6g,KOTANYI,21.9,3650,kg,,280,7.0,,45.0,,10.0,,
200107544,08590132018001,Kotányi Bazalka drhnutá 9g,KOTANYI,21.9,2433.33,kg,,23,0.6,,2.7,,3.2,,
220053352,08593837256853,Vitana Rozmarýn drcený sušený 18g,Vitana,19.9,1105.56,kg,,280,7.0,,45.0,,10.0,,
120528052,08595012001609,Avokádo Tymián sušený 12g,Avokádo,12.9,1075,kg,,160,15.0,,9.0,,2.0,,
220055272,08593837256808,Vitana Kopr 8g,Vitana,19.9,2487.5,kg,,43,1.1,,7.0,,3.5,,
120528023,08595019513051,Avokádo Petrželová nať 6g,Avokádo,11.9,1983.33,kg,,160,15.0,,9.0,,2.0,,
220053348,08593837256822,Vitana Oregano 8g,Vitana,19.9,2487.5,kg,,280,7.0,,45.0,,10.0,,
220055277,08593837256815,Vitana Libeček 8g,Vitana,19.9,2487.5,kg,1387.0,330.0,5.6,1.0,35.0,34.7,24.5,0.4,
120527940,08595012000954,Avokádo Oregano sušené 5g,Avokádo,11.9,2380,kg,,160,15.0,,9.0,,2.0,,
105008559,08593837270538,Vitana Tymián drhnutý sušený 12g,VITANA,19.9,1658.33,kg,,280,7.0,,45.0,,10.0,,
200107568,08590132015109,Kotányi Koprové výhonky drhnuté 11g,KOTANYI,21.9,1990.91,kg,,43,1.1,,7.0,,3.5,,
200107636,08590132018094,Kotányi Rozmarýn mletý 18g,KOTANYI,21.9,1216.67,kg,,280,7.0,,45.0,,10.0,,
220203180,08590132018919,Kotányi Kuře na bylinkách 30g,Kotányi,27.9,930,kg,721.0,172.0,3.0,0.6,25.0,16.0,6.7,49.5,
220053347,08593837256600,Vitana Majoránka 5g,Vitana,19.9,3980,kg,,280,7.0,,45.0,,10.0,,
111269178,08595019542921,Avokádo Česnek medvědí s bylinkami 4g,Avokádo,24.9,6225,kg,,160,15.0,,9.0,,2.0,,
220053374,08593837256907,Vitana Perníkové koření 23g,Vitana,21.9,952.17,kg,1912.0,451.0,3.7,0.8,74.8,0.0,4.8,0.0,
120527836,08595012035017,Avokádo Česnek sušený granulovaný 30g,Avokádo,18.5,616.67,kg,1415.0,335.0,0.4,0.1,57.0,1.7,18.0,0.09,
216080718,08590132019237,Kotányi Paprika sladká mletá 30g,Kotányi,25.9,863.33,kg,,26,0.3,,6.0,,1.0,,
220053344,08593837255863,Vitana Skořice mletá 23g,Vitana,18.5,804.35,kg,,280,7.0,,45.0,,10.0,,
120527894,08595012002200,Avokádo Kmín drcený 30g,Avokádo,18.9,630,kg,,160,15.0,,9.0,,2.0,,
120528046,08595012035352,Avokádo Skořice mletá 25g,Avokádo,18.9,756,kg,,160,15.0,,9.0,,2.0,,
218591106,08593837244089,J.C.Horn Česnek sušený 25g,J.C.Horn,15.9,636,kg,,360,16.0,,49.0,,6.0,,
218968106,08590132015642,Kotányi Skořice celá 17g,Kotányi,29.9,1758.82,kg,1343.0,280,7.0,,45.0,,10.0,,
218967802,08590132015833,Kotányi Badyán celý 8g,Kotányi,29.9,3737.5,kg,,280,7.0,,45.0,,10.0,,
120528207,08595019524088,Avokádo Kuře pečené 30g,Avokádo,19.9,663.33,kg,825.0,197.0,5.3,0.8,25.0,8.6,6.3,49.7,
218968113,08590132015659,Kotányi Skořice mletá 25g,Kotányi,28.9,1156,kg,,280,7.0,,45.0,,10.0,,
120527975,08595012035307,Avokádo Paprika sladká mletá 25g,Avokádo,18.5,740,kg,,160,15.0,,9.0,,2.0,,
120527992,08595012001173,Avokádo Pepř barevný celý 20g,Avokádo,26.9,1345,kg,,160,15.0,,9.0,,2.0,,
220169975,08590132019268,"Kotányi Paprika uzená sladká, mletá 25g",Kotányi,25.9,1036,kg,,26,0.3,,6.0,,1.0,,
120528081,08595012002811,Avokádo Americké brambory 35g,Avokádo,19.9,568.57,kg,624.0,149.0,3.0,0.4,21.0,6.0,5.7,60.3,
130546543,08593837254507,Vitana Pyramidky na vývar 4 x 5g,Vitana,29.9,1495,kg,1553.0,367.0,4.3,1.2,61.0,5.0,11.3,0.0,
120527825,08595012002033,Avokádo Citronová kůra sušená strouhaná 14g,Avokádo,19.9,1421.43,kg,1224.0,293.0,1.9,1.1,42.5,25.9,5.7,0.2,
130546591,08593837254439,Vitana Pyramidky svařené víno 4 x 5g,Vitana,29.9,1495,kg,1765.0,417.0,4.0,0.9,68.6,1.65,4.2,0.0,
200119844,08595012035406,Avokádo Grilovací 30g,Avokádo,19.9,663.33,kg,574.0,137.0,3.3,0.5,17.0,5.1,4.5,55.5,
120527813,08595012020143,Avokádo Bobkový list celý 5g,Avokádo,19.9,3980,kg,,160,15.0,,9.0,,2.0,,
200107872,08590132015314,Kotányi Kmín mletý 28g,KOTANYI,23.9,853.57,kg,,280,7.0,,45.0,,10.0,,
120528328,08595012003894,Avokádo Špagety 27g,Avokádo,19.9,737.04,kg,878.0,210.0,4.0,0.6,37.0,18.0,8.7,29.2,
200107445,08590132015055,Kotányi Kuře pečené 30g,KOTANYI,27.9,930,kg,386.0,92.0,1.9,0.3,14.0,6.4,2.8,74.0,
120528196,08595012035451,Avokádo Kari indické 25g,Avokádo,19.9,796,kg,1346.0,321.0,13.0,1.7,36.0,8.4,10.0,4.9,
120528017,08595012035253,Avokádo Pepř černý mletý 20g,Avokádo,18.9,945,kg,,160,15.0,,9.0,,2.0,,
200107711,08590132015390,Kotányi Muškátový ořech mletý 18g,KOTANYI,32.9,1827.78,kg,,280,7.0,,45.0,,10.0,,
220053291,08593837255856,Vitana Skořice celá 10g,Vitana,19.9,1990,kg,,280,7.0,,45.0,,10.0,,
200107681,08590132015345,Kotányi Bobkový list celý 5g,KOTANYI,21.9,4380,kg,,280,7.0,,45.0,,10.0,,
200107414,08590132015154,Kotányi Mleté maso 23g,KOTANYI,29.9,1300,kg,1247.0,297.0,6.8,0.8,38.0,26.0,12.0,15.0,
220053323,08593837255955,Vitana Citrónová kůra mletá 13g,Vitana,25.9,1992.31,kg,1240.0,290.0,1.3,0.3,64.0,0.0,6.0,0.0,
216080770,08590132015116,Kotányi Pepř čtyř barev celý 16g,Kotányi,41.9,2618.75,kg,,280,7.0,,45.0,,10.0,,
120527928,08595012035154,Avokádo Nové koření celé 15g,Avokádo,19.9,1326.67,kg,,160,15.0,,9.0,,2.0,,
120528109,08595012002958,Avokádo Čína 32g,Avokádo,19.9,621.88,kg,1033.0,247.0,2.6,0.5,44.0,22.0,8.1,32.9,
120527859,08595019534667,Avokádo Hřebíček celý 18g,Avokádo,28.9,1445,kg,,160,15.0,,9.0,,2.0,,
200107919,08590132015468,Kotányi Pepř černý mletý 24g,KOTANYI,32.9,1645,kg,,280,7.0,,45.0,,10.0,,
105008556,08593837270514,Vitana Grilovací koření 28g,VITANA,15.9,567.86,kg,502.0,119.0,3.4,0.8,14.0,11.0,4.1,65.0,
220338681,08590132015413,Kotányi Hřebíček mletý 20g,Kotányi,39.9,1995,kg,,280,7.0,,45.0,,10.0,,
214524641,08590132015574,Kotányi Americké brambory 30g,Kotányi,27.9,930,kg,813.0,195.0,6.1,0.7,17.0,2.1,10.0,42.0,
220134229,08593837258048,Vitana Grilovací koření 90g,Vitana,56.9,632.22,kg,502.0,119.0,3.4,0.8,13.8,10.6,4.1,65.0,
218575793,08593837241712,Vitana Paprika sladká 100g,Vitana,59.9,599,kg,,26,0.3,,6.0,,1.0,,
200107377,08590132015093,Kotányi Kari 27g,KOTANYI,27.9,1033.33,kg,1465.0,349.0,11.0,1.6,45.0,36.0,12.0,4.7,
200107612,08590132016045,Kotányi Polévkové bylinky 8g,KOTANYI,27.9,3487.5,kg,,280,7.0,,45.0,,10.0,,
130823856,08590132015406,Kotányi Hřebíček celý 18g,Kotányi,42.9,2383.33,kg,,280,7.0,,45.0,,10.0,,
220053322,08593837255948,Vitana Bobkový list celý sušený 3g,Vitana,18.9,6300,kg,,280,7.0,,45.0,,10.0,,
218824280,08593837225149,J.C.Horn Grilovací koření 25g,J.C.Horn,12.9,516,kg,502.0,119.0,3.4,0.8,13.8,10.6,4.1,65.0,
218968069,08590132016038,Kotányi Dessert Citrónová kůra 14g,Kotányi,29.9,2135.71,kg,,29,0.3,,9.3,,1.1,,
120528000,08595012035208,Avokádo Pepř černý celý 20g,Avokádo,19.9,995,kg,,160,15.0,,9.0,,2.0,,
200107780,08590132015246,Kotányi Zázvor mletý 22g,KOTANYI,25.9,1177.27,kg,,80,0.8,,18.0,,1.8,,
130546562,08593837254484,Vitana Svíčková omáčka pyramidky koření 4 x 5g,Vitana,29.9,1495,kg,365.0,1545.0,6.3,2.0,58.1,11.8,7.9,0.0,
220053316,08593837256235,Vitana Špagety 23g,Vitana,24.9,1082.61,kg,968.0,229.0,3.7,0.8,32.5,17.6,9.9,27.0,
214524627,08590132015338,Kotányi Kmín drcený 25g,Kotányi,25.9,1036,kg,,280,7.0,,45.0,,10.0,,
120528173,08595012003252,Avokádo Gyros-Kebab 22g,Avokádo,19.9,904.54,kg,1099.0,262.0,6.6,0.9,35.0,13.0,9.0,31.7,
120527888,08595012035055,Avokádo Kmín celý 30g,Avokádo,18.9,630,kg,,160,15.0,,9.0,,2.0,,
211702868,08590132041139,Kotányi Mlýnek Pepř čtyřbarevný celý 35g,Kotányi,87.9,2511.43,kg,,280,7.0,,45.0,,10.0,,
200107629,08590132015864,Kotányi Provensálské bylinky 17g,KOTANYI,27.9,1641.18,kg,,280,7.0,,45.0,,10.0,,
218591267,08593837225088,J.C.Horn Paprika sladká 20g,J.C.Horn,13.5,675,kg,,26,0.3,,6.0,,1.0,,
220053376,08593837256402,Vitana Pizza 20g,Vitana,24.9,1245,kg,890.0,210.0,4.1,1.0,30.1,16.3,8.1,37.0,
120528035,08595019534612,Avokádo Skořice celá 3 ks,Avokádo ,26.9,1415.79,kg,,160,15.0,,9.0,,2.0,,
